[2023-07-09T08:51:37.705+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: etl_dag.apply_pca manual__2023-07-09T08:51:25.990801+00:00 [queued]>
[2023-07-09T08:51:37.719+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: etl_dag.apply_pca manual__2023-07-09T08:51:25.990801+00:00 [queued]>
[2023-07-09T08:51:37.720+0000] {taskinstance.py:1308} INFO - Starting attempt 1 of 1
[2023-07-09T08:51:37.737+0000] {taskinstance.py:1327} INFO - Executing <Task(PythonOperator): apply_pca> on 2023-07-09 08:51:25.990801+00:00
[2023-07-09T08:51:37.744+0000] {standard_task_runner.py:57} INFO - Started process 3155 to run task
[2023-07-09T08:51:37.747+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'etl_dag', 'apply_pca', 'manual__2023-07-09T08:51:25.990801+00:00', '--job-id', '130', '--raw', '--subdir', 'DAGS_FOLDER/test.py', '--cfg-path', '/tmp/tmp__7z41rq']
[2023-07-09T08:51:37.748+0000] {standard_task_runner.py:85} INFO - Job 130: Subtask apply_pca
[2023-07-09T08:51:37.798+0000] {task_command.py:410} INFO - Running <TaskInstance: etl_dag.apply_pca manual__2023-07-09T08:51:25.990801+00:00 [running]> on host 5865fe7b5e5b
[2023-07-09T08:51:38.049+0000] {taskinstance.py:1547} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='etl_dag' AIRFLOW_CTX_TASK_ID='apply_pca' AIRFLOW_CTX_EXECUTION_DATE='2023-07-09T08:51:25.990801+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2023-07-09T08:51:25.990801+00:00'
[2023-07-09T08:51:38.074+0000] {warnings.py:110} WARNING - /opt/***/dags/test.py:73: FutureWarning: Dropping of nuisance columns in DataFrame reductions (with 'numeric_only=None') is deprecated; in a future version this will raise TypeError.  Select only valid columns before calling the reduction.
  df.fillna(df.mean(), inplace=True)
[2023-07-09T08:51:38.259+0000] {logging_mixin.py:149} INFO - Element at index 9, column LocationAbbr: WI
[2023-07-09T08:51:38.259+0000] {logging_mixin.py:149} INFO - Element at index 9, column LocationDesc: Wisconsin
[2023-07-09T08:51:38.260+0000] {logging_mixin.py:149} INFO - Element at index 9, column DataSource: SEDD; SID
[2023-07-09T08:51:38.261+0000] {logging_mixin.py:149} INFO - Element at index 9, column Topic: Asthma
[2023-07-09T08:51:38.261+0000] {logging_mixin.py:149} INFO - Element at index 9, column Question: Hospitalizations for asthma
[2023-07-09T08:51:38.262+0000] {logging_mixin.py:149} INFO - Element at index 9, column Response: 
[2023-07-09T08:51:38.263+0000] {logging_mixin.py:149} INFO - Element at index 9, column DataValueUnit: 
[2023-07-09T08:51:38.264+0000] {logging_mixin.py:149} INFO - Element at index 9, column DataValueType: Number
[2023-07-09T08:51:38.264+0000] {logging_mixin.py:149} INFO - Element at index 9, column DataValue: 1967.0
[2023-07-09T08:51:38.265+0000] {logging_mixin.py:149} INFO - Element at index 9, column DataValueAlt: 1967.0
[2023-07-09T08:51:38.266+0000] {logging_mixin.py:149} INFO - Element at index 9, column DataValueFootnoteSymbol: 
[2023-07-09T08:51:38.267+0000] {logging_mixin.py:149} INFO - Element at index 9, column DatavalueFootnote: 
[2023-07-09T08:51:38.267+0000] {logging_mixin.py:149} INFO - Element at index 9, column LowConfidenceLimit: 
[2023-07-09T08:51:38.268+0000] {logging_mixin.py:149} INFO - Element at index 9, column HighConfidenceLimit: 
[2023-07-09T08:51:38.269+0000] {logging_mixin.py:149} INFO - Element at index 9, column StratificationCategory1: Gender
[2023-07-09T08:51:38.269+0000] {logging_mixin.py:149} INFO - Element at index 9, column Stratification1: Male
[2023-07-09T08:51:38.270+0000] {logging_mixin.py:149} INFO - Element at index 9, column StratificationCategory2: 
[2023-07-09T08:51:38.271+0000] {logging_mixin.py:149} INFO - Element at index 9, column Stratification2: 
[2023-07-09T08:51:38.272+0000] {logging_mixin.py:149} INFO - Element at index 9, column StratificationCategory3: 
[2023-07-09T08:51:38.273+0000] {logging_mixin.py:149} INFO - Element at index 9, column Stratification3: 
[2023-07-09T08:51:38.274+0000] {logging_mixin.py:149} INFO - Element at index 9, column ResponseID: 
[2023-07-09T08:51:38.275+0000] {logging_mixin.py:149} INFO - Element at index 9, column LocationID: 55
[2023-07-09T08:51:38.275+0000] {logging_mixin.py:149} INFO - Element at index 9, column TopicID: AST
[2023-07-09T08:51:38.276+0000] {logging_mixin.py:149} INFO - Element at index 9, column QuestionID: AST3_1
[2023-07-09T08:51:38.278+0000] {logging_mixin.py:149} INFO - Element at index 9, column DataValueTypeID: NMBR
[2023-07-09T08:51:38.280+0000] {logging_mixin.py:149} INFO - Element at index 9, column StratificationCategoryID1: GENDER
[2023-07-09T08:51:38.281+0000] {logging_mixin.py:149} INFO - Element at index 9, column StratificationID1: GENM
[2023-07-09T08:51:38.284+0000] {logging_mixin.py:149} INFO - Element at index 9, column StratificationCategoryID2: 
[2023-07-09T08:51:38.285+0000] {logging_mixin.py:149} INFO - Element at index 9, column StratificationID2: 
[2023-07-09T08:51:38.286+0000] {logging_mixin.py:149} INFO - Element at index 9, column StratificationCategoryID3: 
[2023-07-09T08:51:38.287+0000] {logging_mixin.py:149} INFO - Element at index 9, column StratificationID3: 
[2023-07-09T08:51:38.289+0000] {logging_mixin.py:149} INFO - Element at index 9, column Duration: 0
[2023-07-09T08:51:38.290+0000] {logging_mixin.py:149} INFO - Element at index 9, column Latitude: -89.81637074199966
[2023-07-09T08:51:38.291+0000] {logging_mixin.py:149} INFO - Element at index 9, column Longitude: 44.39319117400049
[2023-07-09T08:51:38.292+0000] {logging_mixin.py:149} INFO - Element at index 9, column PCA1: 0.6126685526598855
[2023-07-09T08:51:38.294+0000] {logging_mixin.py:149} INFO - Element at index 9, column PCA2: 7.753478889769657
[2023-07-09T08:51:38.296+0000] {logging_mixin.py:149} INFO - Element at index 10, column LocationAbbr: WI
[2023-07-09T08:51:38.297+0000] {logging_mixin.py:149} INFO - Element at index 10, column LocationDesc: Wisconsin
[2023-07-09T08:51:38.298+0000] {logging_mixin.py:149} INFO - Element at index 10, column DataSource: SEDD; SID
[2023-07-09T08:51:38.299+0000] {logging_mixin.py:149} INFO - Element at index 10, column Topic: Asthma
[2023-07-09T08:51:38.301+0000] {logging_mixin.py:149} INFO - Element at index 10, column Question: Hospitalizations for asthma
[2023-07-09T08:51:38.302+0000] {logging_mixin.py:149} INFO - Element at index 10, column Response: 
[2023-07-09T08:51:38.304+0000] {logging_mixin.py:149} INFO - Element at index 10, column DataValueUnit: 
[2023-07-09T08:51:38.306+0000] {logging_mixin.py:149} INFO - Element at index 10, column DataValueType: Number
[2023-07-09T08:51:38.308+0000] {logging_mixin.py:149} INFO - Element at index 10, column DataValue: 110.0
[2023-07-09T08:51:38.309+0000] {logging_mixin.py:149} INFO - Element at index 10, column DataValueAlt: 110.0
[2023-07-09T08:51:38.309+0000] {logging_mixin.py:149} INFO - Element at index 10, column DataValueFootnoteSymbol: 
[2023-07-09T08:51:38.310+0000] {logging_mixin.py:149} INFO - Element at index 10, column DatavalueFootnote: 
[2023-07-09T08:51:38.310+0000] {logging_mixin.py:149} INFO - Element at index 10, column LowConfidenceLimit: 
[2023-07-09T08:51:38.311+0000] {logging_mixin.py:149} INFO - Element at index 10, column HighConfidenceLimit: 
[2023-07-09T08:51:38.312+0000] {logging_mixin.py:149} INFO - Element at index 10, column StratificationCategory1: Race/Ethnicity
[2023-07-09T08:51:38.313+0000] {logging_mixin.py:149} INFO - Element at index 10, column Stratification1: Hispanic
[2023-07-09T08:51:38.313+0000] {logging_mixin.py:149} INFO - Element at index 10, column StratificationCategory2: 
[2023-07-09T08:51:38.314+0000] {logging_mixin.py:149} INFO - Element at index 10, column Stratification2: 
[2023-07-09T08:51:38.315+0000] {logging_mixin.py:149} INFO - Element at index 10, column StratificationCategory3: 
[2023-07-09T08:51:38.315+0000] {logging_mixin.py:149} INFO - Element at index 10, column Stratification3: 
[2023-07-09T08:51:38.316+0000] {logging_mixin.py:149} INFO - Element at index 10, column ResponseID: 
[2023-07-09T08:51:38.316+0000] {logging_mixin.py:149} INFO - Element at index 10, column LocationID: 55
[2023-07-09T08:51:38.317+0000] {logging_mixin.py:149} INFO - Element at index 10, column TopicID: AST
[2023-07-09T08:51:38.318+0000] {logging_mixin.py:149} INFO - Element at index 10, column QuestionID: AST3_1
[2023-07-09T08:51:38.320+0000] {logging_mixin.py:149} INFO - Element at index 10, column DataValueTypeID: NMBR
[2023-07-09T08:51:38.321+0000] {logging_mixin.py:149} INFO - Element at index 10, column StratificationCategoryID1: RACE
[2023-07-09T08:51:38.321+0000] {logging_mixin.py:149} INFO - Element at index 10, column StratificationID1: HIS
[2023-07-09T08:51:38.322+0000] {logging_mixin.py:149} INFO - Element at index 10, column StratificationCategoryID2: 
[2023-07-09T08:51:38.323+0000] {logging_mixin.py:149} INFO - Element at index 10, column StratificationID2: 
[2023-07-09T08:51:38.323+0000] {logging_mixin.py:149} INFO - Element at index 10, column StratificationCategoryID3: 
[2023-07-09T08:51:38.324+0000] {logging_mixin.py:149} INFO - Element at index 10, column StratificationID3: 
[2023-07-09T08:51:38.325+0000] {logging_mixin.py:149} INFO - Element at index 10, column Duration: 0
[2023-07-09T08:51:38.325+0000] {logging_mixin.py:149} INFO - Element at index 10, column Latitude: -89.81637074199966
[2023-07-09T08:51:38.326+0000] {logging_mixin.py:149} INFO - Element at index 10, column Longitude: 44.39319117400049
[2023-07-09T08:51:38.327+0000] {logging_mixin.py:149} INFO - Element at index 10, column PCA1: 0.6126685526598855
[2023-07-09T08:51:38.327+0000] {logging_mixin.py:149} INFO - Element at index 10, column PCA2: 7.753478889769657
[2023-07-09T08:51:38.328+0000] {logging_mixin.py:149} INFO - Element at index 11, column LocationAbbr: AL
[2023-07-09T08:51:38.329+0000] {logging_mixin.py:149} INFO - Element at index 11, column LocationDesc: Alabama
[2023-07-09T08:51:38.329+0000] {logging_mixin.py:149} INFO - Element at index 11, column DataSource: NVSS
[2023-07-09T08:51:38.330+0000] {logging_mixin.py:149} INFO - Element at index 11, column Topic: Asthma
[2023-07-09T08:51:38.330+0000] {logging_mixin.py:149} INFO - Element at index 11, column Question: Asthma mortality rate
[2023-07-09T08:51:38.331+0000] {logging_mixin.py:149} INFO - Element at index 11, column Response: 
[2023-07-09T08:51:38.331+0000] {logging_mixin.py:149} INFO - Element at index 11, column DataValueUnit: 
[2023-07-09T08:51:38.332+0000] {logging_mixin.py:149} INFO - Element at index 11, column DataValueType: Number
[2023-07-09T08:51:38.333+0000] {logging_mixin.py:149} INFO - Element at index 11, column DataValue: 22.0
[2023-07-09T08:51:38.333+0000] {logging_mixin.py:149} INFO - Element at index 11, column DataValueAlt: 22.0
[2023-07-09T08:51:38.334+0000] {logging_mixin.py:149} INFO - Element at index 11, column DataValueFootnoteSymbol: 
[2023-07-09T08:51:38.335+0000] {logging_mixin.py:149} INFO - Element at index 11, column DatavalueFootnote: 
[2023-07-09T08:51:38.336+0000] {logging_mixin.py:149} INFO - Element at index 11, column LowConfidenceLimit: 
[2023-07-09T08:51:38.336+0000] {logging_mixin.py:149} INFO - Element at index 11, column HighConfidenceLimit: 
[2023-07-09T08:51:38.337+0000] {logging_mixin.py:149} INFO - Element at index 11, column StratificationCategory1: Gender
[2023-07-09T08:51:38.338+0000] {logging_mixin.py:149} INFO - Element at index 11, column Stratification1: Male
[2023-07-09T08:51:38.338+0000] {logging_mixin.py:149} INFO - Element at index 11, column StratificationCategory2: 
[2023-07-09T08:51:38.339+0000] {logging_mixin.py:149} INFO - Element at index 11, column Stratification2: 
[2023-07-09T08:51:38.340+0000] {logging_mixin.py:149} INFO - Element at index 11, column StratificationCategory3: 
[2023-07-09T08:51:38.340+0000] {logging_mixin.py:149} INFO - Element at index 11, column Stratification3: 
[2023-07-09T08:51:38.341+0000] {logging_mixin.py:149} INFO - Element at index 11, column ResponseID: 
[2023-07-09T08:51:38.341+0000] {logging_mixin.py:149} INFO - Element at index 11, column LocationID: 1
[2023-07-09T08:51:38.342+0000] {logging_mixin.py:149} INFO - Element at index 11, column TopicID: AST
[2023-07-09T08:51:38.343+0000] {logging_mixin.py:149} INFO - Element at index 11, column QuestionID: AST4_1
[2023-07-09T08:51:38.343+0000] {logging_mixin.py:149} INFO - Element at index 11, column DataValueTypeID: NMBR
[2023-07-09T08:51:38.344+0000] {logging_mixin.py:149} INFO - Element at index 11, column StratificationCategoryID1: GENDER
[2023-07-09T08:51:38.344+0000] {logging_mixin.py:149} INFO - Element at index 11, column StratificationID1: GENM
[2023-07-09T08:51:38.345+0000] {logging_mixin.py:149} INFO - Element at index 11, column StratificationCategoryID2: 
[2023-07-09T08:51:38.345+0000] {logging_mixin.py:149} INFO - Element at index 11, column StratificationID2: 
[2023-07-09T08:51:38.346+0000] {logging_mixin.py:149} INFO - Element at index 11, column StratificationCategoryID3: 
[2023-07-09T08:51:38.347+0000] {logging_mixin.py:149} INFO - Element at index 11, column StratificationID3: 
[2023-07-09T08:51:38.347+0000] {logging_mixin.py:149} INFO - Element at index 11, column Duration: 0
[2023-07-09T08:51:38.348+0000] {logging_mixin.py:149} INFO - Element at index 11, column Latitude: -86.63186076199969
[2023-07-09T08:51:38.348+0000] {logging_mixin.py:149} INFO - Element at index 11, column Longitude: 32.84057112200048
[2023-07-09T08:51:38.349+0000] {logging_mixin.py:149} INFO - Element at index 11, column PCA1: 8.257814719625562
[2023-07-09T08:51:38.349+0000] {logging_mixin.py:149} INFO - Element at index 11, column PCA2: -1.4745151481739185
[2023-07-09T08:51:38.350+0000] {logging_mixin.py:149} INFO - Element at index 12, column LocationAbbr: ID
[2023-07-09T08:51:38.351+0000] {logging_mixin.py:149} INFO - Element at index 12, column LocationDesc: Idaho
[2023-07-09T08:51:38.351+0000] {logging_mixin.py:149} INFO - Element at index 12, column DataSource: NVSS
[2023-07-09T08:51:38.352+0000] {logging_mixin.py:149} INFO - Element at index 12, column Topic: Asthma
[2023-07-09T08:51:38.353+0000] {logging_mixin.py:149} INFO - Element at index 12, column Question: Asthma mortality rate
[2023-07-09T08:51:38.353+0000] {logging_mixin.py:149} INFO - Element at index 12, column Response: 
[2023-07-09T08:51:38.354+0000] {logging_mixin.py:149} INFO - Element at index 12, column DataValueUnit: 
[2023-07-09T08:51:38.354+0000] {logging_mixin.py:149} INFO - Element at index 12, column DataValueType: Number
[2023-07-09T08:51:38.355+0000] {logging_mixin.py:149} INFO - Element at index 12, column DataValue: 21.0
[2023-07-09T08:51:38.356+0000] {logging_mixin.py:149} INFO - Element at index 12, column DataValueAlt: 21.0
[2023-07-09T08:51:38.356+0000] {logging_mixin.py:149} INFO - Element at index 12, column DataValueFootnoteSymbol: 
[2023-07-09T08:51:38.357+0000] {logging_mixin.py:149} INFO - Element at index 12, column DatavalueFootnote: 
[2023-07-09T08:51:38.357+0000] {logging_mixin.py:149} INFO - Element at index 12, column LowConfidenceLimit: 
[2023-07-09T08:51:38.358+0000] {logging_mixin.py:149} INFO - Element at index 12, column HighConfidenceLimit: 
[2023-07-09T08:51:38.359+0000] {logging_mixin.py:149} INFO - Element at index 12, column StratificationCategory1: Overall
[2023-07-09T08:51:38.359+0000] {logging_mixin.py:149} INFO - Element at index 12, column Stratification1: Overall
[2023-07-09T08:51:38.360+0000] {logging_mixin.py:149} INFO - Element at index 12, column StratificationCategory2: 
[2023-07-09T08:51:38.361+0000] {logging_mixin.py:149} INFO - Element at index 12, column Stratification2: 
[2023-07-09T08:51:38.361+0000] {logging_mixin.py:149} INFO - Element at index 12, column StratificationCategory3: 
[2023-07-09T08:51:38.362+0000] {logging_mixin.py:149} INFO - Element at index 12, column Stratification3: 
[2023-07-09T08:51:38.362+0000] {logging_mixin.py:149} INFO - Element at index 12, column ResponseID: 
[2023-07-09T08:51:38.363+0000] {logging_mixin.py:149} INFO - Element at index 12, column LocationID: 16
[2023-07-09T08:51:38.363+0000] {logging_mixin.py:149} INFO - Element at index 12, column TopicID: AST
[2023-07-09T08:51:38.364+0000] {logging_mixin.py:149} INFO - Element at index 12, column QuestionID: AST4_1
[2023-07-09T08:51:38.365+0000] {logging_mixin.py:149} INFO - Element at index 12, column DataValueTypeID: NMBR
[2023-07-09T08:51:38.366+0000] {logging_mixin.py:149} INFO - Element at index 12, column StratificationCategoryID1: OVERALL
[2023-07-09T08:51:38.366+0000] {logging_mixin.py:149} INFO - Element at index 12, column StratificationID1: OVR
[2023-07-09T08:51:38.367+0000] {logging_mixin.py:149} INFO - Element at index 12, column StratificationCategoryID2: 
[2023-07-09T08:51:38.368+0000] {logging_mixin.py:149} INFO - Element at index 12, column StratificationID2: 
[2023-07-09T08:51:38.369+0000] {logging_mixin.py:149} INFO - Element at index 12, column StratificationCategoryID3: 
[2023-07-09T08:51:38.369+0000] {logging_mixin.py:149} INFO - Element at index 12, column StratificationID3: 
[2023-07-09T08:51:38.370+0000] {logging_mixin.py:149} INFO - Element at index 12, column Duration: 0
[2023-07-09T08:51:38.370+0000] {logging_mixin.py:149} INFO - Element at index 12, column Latitude: -114.3637300419997
[2023-07-09T08:51:38.371+0000] {logging_mixin.py:149} INFO - Element at index 12, column Longitude: 43.682630005000476
[2023-07-09T08:51:38.371+0000] {logging_mixin.py:149} INFO - Element at index 12, column PCA1: -21.48061689459043
[2023-07-09T08:51:38.372+0000] {logging_mixin.py:149} INFO - Element at index 12, column PCA2: -2.9686703315621537
[2023-07-09T08:51:38.373+0000] {logging_mixin.py:149} INFO - Element at index 13, column LocationAbbr: ID
[2023-07-09T08:51:38.373+0000] {logging_mixin.py:149} INFO - Element at index 13, column LocationDesc: Idaho
[2023-07-09T08:51:38.374+0000] {logging_mixin.py:149} INFO - Element at index 13, column DataSource: NVSS
[2023-07-09T08:51:38.375+0000] {logging_mixin.py:149} INFO - Element at index 13, column Topic: Asthma
[2023-07-09T08:51:38.375+0000] {logging_mixin.py:149} INFO - Element at index 13, column Question: Asthma mortality rate
[2023-07-09T08:51:38.376+0000] {logging_mixin.py:149} INFO - Element at index 13, column Response: 
[2023-07-09T08:51:38.376+0000] {logging_mixin.py:149} INFO - Element at index 13, column DataValueUnit: 
[2023-07-09T08:51:38.377+0000] {logging_mixin.py:149} INFO - Element at index 13, column DataValueType: Number
[2023-07-09T08:51:38.378+0000] {logging_mixin.py:149} INFO - Element at index 13, column DataValue: 21.0
[2023-07-09T08:51:38.378+0000] {logging_mixin.py:149} INFO - Element at index 13, column DataValueAlt: 21.0
[2023-07-09T08:51:38.379+0000] {logging_mixin.py:149} INFO - Element at index 13, column DataValueFootnoteSymbol: 
[2023-07-09T08:51:38.379+0000] {logging_mixin.py:149} INFO - Element at index 13, column DatavalueFootnote: 
[2023-07-09T08:51:38.380+0000] {logging_mixin.py:149} INFO - Element at index 13, column LowConfidenceLimit: 
[2023-07-09T08:51:38.380+0000] {logging_mixin.py:149} INFO - Element at index 13, column HighConfidenceLimit: 
[2023-07-09T08:51:38.381+0000] {logging_mixin.py:149} INFO - Element at index 13, column StratificationCategory1: Overall
[2023-07-09T08:51:38.382+0000] {logging_mixin.py:149} INFO - Element at index 13, column Stratification1: Overall
[2023-07-09T08:51:38.383+0000] {logging_mixin.py:149} INFO - Element at index 13, column StratificationCategory2: 
[2023-07-09T08:51:38.383+0000] {logging_mixin.py:149} INFO - Element at index 13, column Stratification2: 
[2023-07-09T08:51:38.384+0000] {logging_mixin.py:149} INFO - Element at index 13, column StratificationCategory3: 
[2023-07-09T08:51:38.385+0000] {logging_mixin.py:149} INFO - Element at index 13, column Stratification3: 
[2023-07-09T08:51:38.385+0000] {logging_mixin.py:149} INFO - Element at index 13, column ResponseID: 
[2023-07-09T08:51:38.386+0000] {logging_mixin.py:149} INFO - Element at index 13, column LocationID: 16
[2023-07-09T08:51:38.386+0000] {logging_mixin.py:149} INFO - Element at index 13, column TopicID: AST
[2023-07-09T08:51:38.387+0000] {logging_mixin.py:149} INFO - Element at index 13, column QuestionID: AST4_1
[2023-07-09T08:51:38.388+0000] {logging_mixin.py:149} INFO - Element at index 13, column DataValueTypeID: NMBR
[2023-07-09T08:51:38.389+0000] {logging_mixin.py:149} INFO - Element at index 13, column StratificationCategoryID1: OVERALL
[2023-07-09T08:51:38.390+0000] {logging_mixin.py:149} INFO - Element at index 13, column StratificationID1: OVR
[2023-07-09T08:51:38.390+0000] {logging_mixin.py:149} INFO - Element at index 13, column StratificationCategoryID2: 
[2023-07-09T08:51:38.391+0000] {logging_mixin.py:149} INFO - Element at index 13, column StratificationID2: 
[2023-07-09T08:51:38.391+0000] {logging_mixin.py:149} INFO - Element at index 13, column StratificationCategoryID3: 
[2023-07-09T08:51:38.392+0000] {logging_mixin.py:149} INFO - Element at index 13, column StratificationID3: 
[2023-07-09T08:51:38.393+0000] {logging_mixin.py:149} INFO - Element at index 13, column Duration: 0
[2023-07-09T08:51:38.393+0000] {logging_mixin.py:149} INFO - Element at index 13, column Latitude: -114.3637300419997
[2023-07-09T08:51:38.394+0000] {logging_mixin.py:149} INFO - Element at index 13, column Longitude: 43.682630005000476
[2023-07-09T08:51:38.394+0000] {logging_mixin.py:149} INFO - Element at index 13, column PCA1: -21.48061689459043
[2023-07-09T08:51:38.395+0000] {logging_mixin.py:149} INFO - Element at index 13, column PCA2: -2.9686703315621537
[2023-07-09T08:51:38.395+0000] {logging_mixin.py:149} INFO - Element at index 14, column LocationAbbr: IL
[2023-07-09T08:51:38.396+0000] {logging_mixin.py:149} INFO - Element at index 14, column LocationDesc: Illinois
[2023-07-09T08:51:38.397+0000] {logging_mixin.py:149} INFO - Element at index 14, column DataSource: NVSS
[2023-07-09T08:51:38.397+0000] {logging_mixin.py:149} INFO - Element at index 14, column Topic: Asthma
[2023-07-09T08:51:38.398+0000] {logging_mixin.py:149} INFO - Element at index 14, column Question: Asthma mortality rate
[2023-07-09T08:51:38.399+0000] {logging_mixin.py:149} INFO - Element at index 14, column Response: 
[2023-07-09T08:51:38.399+0000] {logging_mixin.py:149} INFO - Element at index 14, column DataValueUnit: Number
[2023-07-09T08:51:38.400+0000] {logging_mixin.py:149} INFO - Element at index 14, column DataValueType: Number
[2023-07-09T08:51:38.400+0000] {logging_mixin.py:149} INFO - Element at index 14, column DataValue: 89.0
[2023-07-09T08:51:38.401+0000] {logging_mixin.py:149} INFO - Element at index 14, column DataValueAlt: 89.0
[2023-07-09T08:51:38.402+0000] {logging_mixin.py:149} INFO - Element at index 14, column DataValueFootnoteSymbol: 
[2023-07-09T08:51:38.402+0000] {logging_mixin.py:149} INFO - Element at index 14, column DatavalueFootnote: 
[2023-07-09T08:51:38.403+0000] {logging_mixin.py:149} INFO - Element at index 14, column LowConfidenceLimit: 
[2023-07-09T08:51:38.403+0000] {logging_mixin.py:149} INFO - Element at index 14, column HighConfidenceLimit: 
[2023-07-09T08:51:38.404+0000] {logging_mixin.py:149} INFO - Element at index 14, column StratificationCategory1: Gender
[2023-07-09T08:51:38.404+0000] {logging_mixin.py:149} INFO - Element at index 14, column Stratification1: Male
[2023-07-09T08:51:38.405+0000] {logging_mixin.py:149} INFO - Element at index 14, column StratificationCategory2: 
[2023-07-09T08:51:38.405+0000] {logging_mixin.py:149} INFO - Element at index 14, column Stratification2: 
[2023-07-09T08:51:38.406+0000] {logging_mixin.py:149} INFO - Element at index 14, column StratificationCategory3: 
[2023-07-09T08:51:38.406+0000] {logging_mixin.py:149} INFO - Element at index 14, column Stratification3: 
[2023-07-09T08:51:38.407+0000] {logging_mixin.py:149} INFO - Element at index 14, column ResponseID: 
[2023-07-09T08:51:38.408+0000] {logging_mixin.py:149} INFO - Element at index 14, column LocationID: 17
[2023-07-09T08:51:38.408+0000] {logging_mixin.py:149} INFO - Element at index 14, column TopicID: AST
[2023-07-09T08:51:38.409+0000] {logging_mixin.py:149} INFO - Element at index 14, column QuestionID: AST4_1
[2023-07-09T08:51:38.409+0000] {logging_mixin.py:149} INFO - Element at index 14, column DataValueTypeID: NMBR
[2023-07-09T08:51:38.410+0000] {logging_mixin.py:149} INFO - Element at index 14, column StratificationCategoryID1: GENDER
[2023-07-09T08:51:38.410+0000] {logging_mixin.py:149} INFO - Element at index 14, column StratificationID1: GENM
[2023-07-09T08:51:38.411+0000] {logging_mixin.py:149} INFO - Element at index 14, column StratificationCategoryID2: 
[2023-07-09T08:51:38.411+0000] {logging_mixin.py:149} INFO - Element at index 14, column StratificationID2: 
[2023-07-09T08:51:38.412+0000] {logging_mixin.py:149} INFO - Element at index 14, column StratificationCategoryID3: 
[2023-07-09T08:51:38.412+0000] {logging_mixin.py:149} INFO - Element at index 14, column StratificationID3: 
[2023-07-09T08:51:38.413+0000] {logging_mixin.py:149} INFO - Element at index 14, column Duration: 0
[2023-07-09T08:51:38.413+0000] {logging_mixin.py:149} INFO - Element at index 14, column Latitude: -88.99771017799969
[2023-07-09T08:51:38.414+0000] {logging_mixin.py:149} INFO - Element at index 14, column Longitude: 40.48501028300046
[2023-07-09T08:51:38.415+0000] {logging_mixin.py:149} INFO - Element at index 14, column PCA1: 2.963119589591291
[2023-07-09T08:51:38.415+0000] {logging_mixin.py:149} INFO - Element at index 14, column PCA2: 4.5255596034778485
[2023-07-09T08:51:38.416+0000] {logging_mixin.py:149} INFO - Element at index 15, column LocationAbbr: KS
[2023-07-09T08:51:38.417+0000] {logging_mixin.py:149} INFO - Element at index 15, column LocationDesc: Kansas
[2023-07-09T08:51:38.417+0000] {logging_mixin.py:149} INFO - Element at index 15, column DataSource: NVSS
[2023-07-09T08:51:38.418+0000] {logging_mixin.py:149} INFO - Element at index 15, column Topic: Asthma
[2023-07-09T08:51:38.418+0000] {logging_mixin.py:149} INFO - Element at index 15, column Question: Asthma mortality rate
[2023-07-09T08:51:38.419+0000] {logging_mixin.py:149} INFO - Element at index 15, column Response: 
[2023-07-09T08:51:38.420+0000] {logging_mixin.py:149} INFO - Element at index 15, column DataValueUnit: 
[2023-07-09T08:51:38.420+0000] {logging_mixin.py:149} INFO - Element at index 15, column DataValueType: Number
[2023-07-09T08:51:38.421+0000] {logging_mixin.py:149} INFO - Element at index 15, column DataValue: 24.0
[2023-07-09T08:51:38.421+0000] {logging_mixin.py:149} INFO - Element at index 15, column DataValueAlt: 24.0
[2023-07-09T08:51:38.422+0000] {logging_mixin.py:149} INFO - Element at index 15, column DataValueFootnoteSymbol: 
[2023-07-09T08:51:38.423+0000] {logging_mixin.py:149} INFO - Element at index 15, column DatavalueFootnote: 
[2023-07-09T08:51:38.423+0000] {logging_mixin.py:149} INFO - Element at index 15, column LowConfidenceLimit: 
[2023-07-09T08:51:38.424+0000] {logging_mixin.py:149} INFO - Element at index 15, column HighConfidenceLimit: 
[2023-07-09T08:51:38.424+0000] {logging_mixin.py:149} INFO - Element at index 15, column StratificationCategory1: Race/Ethnicity
[2023-07-09T08:51:38.425+0000] {logging_mixin.py:149} INFO - Element at index 15, column Stratification1: White, non-Hispanic
[2023-07-09T08:51:38.426+0000] {logging_mixin.py:149} INFO - Element at index 15, column StratificationCategory2: 
[2023-07-09T08:51:38.426+0000] {logging_mixin.py:149} INFO - Element at index 15, column Stratification2: 
[2023-07-09T08:51:38.427+0000] {logging_mixin.py:149} INFO - Element at index 15, column StratificationCategory3: 
[2023-07-09T08:51:38.427+0000] {logging_mixin.py:149} INFO - Element at index 15, column Stratification3: 
[2023-07-09T08:51:38.428+0000] {logging_mixin.py:149} INFO - Element at index 15, column ResponseID: 
[2023-07-09T08:51:38.428+0000] {logging_mixin.py:149} INFO - Element at index 15, column LocationID: 20
